时间,EV1_优化功率,EV2_优化功率,EV3_优化功率,EV4_优化功率,EV5_优化功率,EV6_优化功率,EV7_优化功率,EV8_优化功率,EV9_优化功率,EV10_优化功率,EV11_优化功率,EV12_优化功率,EV13_优化功率,EV14_优化功率,EV15_优化功率,EV16_优化功率,EV17_优化功率,EV18_优化功率,EV19_优化功率,EV20_优化功率
2026-01-01 11:45:00,1.44,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,1.44,1.44,1.44,1.44,0.0,0.0,0.0,1.44,1.44,0.0
2026-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.44,0.0,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 12:15:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.44,0.0,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 12:30:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,0.0,0.0,1.44,1.4399999999999997,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 12:45:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,0.0,0.0,1.44,1.44,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 13:15:00,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 13:30:00,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 13:45:00,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 14:00:00,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.4399999999999997,0.0,0.0,0.0,0.0,0.0,1.4399999999999997,1.4399999999999997,1.44
2026-01-01 14:15:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 14:30:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.4399999999999997,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 14:45:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 15:00:00,1.44,0.0,0.0,1.4399999999999997,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 15:15:00,1.44,0.0,0.0,1.44,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 15:30:00,1.44,0.0,0.0,1.44,1.4399999999999997,1.44,0.0,0.0,1.44,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 15:45:00,1.44,0.0,0.0,1.44,1.44,1.44,0.0,0.0,1.44,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 16:00:00,1.44,0.0,0.0,1.44,1.44,1.4399999999999997,0.0,0.0,1.44,1.44,1.44,1.44,0.0,1.44,0.0,1.44,0.0,1.44,1.44,1.44
